"Row.names","logFC","logCPM","PValue","FDR","dko","sko"
"Ifi202b",4.36592794660942,1.51956022303857,1.04791293237882e-12,4.2734565455268e-10,92.5,4.25
"Cxcl14",-0.86838625812715,6.31767721373131,3.30685275250985e-12,1.30641351553842e-09,1035.25,1890.5
"Alad",0.82749810509235,7.23264525106561,3.53449014313962e-12,1.35403104210821e-09,3526.75,1986.5
"Etnppl",1.54453556513407,4.98510153066643,4.50775410244827e-12,1.67608904009268e-09,860.25,295
"Il18r1",0.929165459382394,4.34782453819201,6.38808728495618e-12,2.30737712732617e-09,486.25,255.25
"Lypd2",0.961260685833306,4.93207341374148,9.74134045811723e-12,3.42083405754217e-09,736.5,378.25
"Mfap3l",1.04641528033981,3.72415002699167,3.85977305549651e-11,1.31879056669154e-08,322.25,156
"Nwd1",-1.34549619484499,2.85652809410602,4.14838147509913e-11,1.38010101600535e-08,74.25,189.25
"Slfn4",3.04790432027909,1.47382855629624,9.27787442741911e-11,3.00745867978032e-08,85.75,10.5
"Acta1",-1.65086628471548,3.43299723832067,1.34609881232712e-10,4.25434529635985e-08,95.5,300.25
"Cdkn1c",0.504531268440915,6.36236495695719,1.53041778598085e-10,4.71891259765119e-08,1768.5,1246
"Slc34a2",1.50608496945221,4.08763310238773,1.73862113159529e-10,5.23324960610182e-08,456.25,160.75
"Cldn23",-0.523548632295653,5.62905511856971,2.23356310120649e-10,6.41743289214829e-08,743.75,1070.25
"Csf3r",1.9839802473125,2.50095611572952,2.228199773064e-10,6.41743289214829e-08,160.5,40.5
"Tmem38a",-0.778781126438978,4.06452925169831,2.58057009772999e-10,7.24968159455613e-08,225,386.75
"Adh7",5.52238998907243,2.98166184878351,3.42347605127992e-10,9.20842217878314e-08,274.5,5.75
"Tcte2",-1.33665010343617,2.79723371582083,3.39799932288004e-10,9.20842217878314e-08,72,182.25
"Mfap5",-0.781110193702014,5.47339484425591,4.2619335755662e-10,1.12248675546475e-07,599.25,1029.75
"Ptgs2",-0.904904844403316,5.72015344727147,4.37331437970763e-10,1.12831510996457e-07,673,1260.25
"Pla1a",1.55745828982579,2.5871125535733,5.65895303539668e-10,1.4308096854697e-07,159.25,54
"Gm11868",4.97309112249696,1.1069846057481,6.78706811950384e-10,1.68239441503466e-07,69.75,2
"Dpt",-1.4382251772639,5.77856201749136,8.88616476690621e-10,2.16036336506208e-07,542.75,1471.25
"Mtmr7",-1.19345809321705,2.53657130439305,1.06284541275431e-09,2.53518711472452e-07,64.5,147
"Sprr2b",1.42628668576366,3.94434014224129,1.25070157004719e-09,2.9280313423216e-07,406.5,150.75
"Loxl1",-0.740998612807146,5.77557023054078,1.68309584641412e-09,3.8686723073395e-07,752,1256.75
"Ssbp4",0.4378807046028,6.61987309986088,1.74548778433176e-09,3.94043867312894e-07,2074,1530.5
"Suco",0.419987038968339,6.77489017351405,1.87039562517585e-09,4.14834061289003e-07,2297.25,1716.75
"Ret",-1.63883424633513,1.58111689560576,1.90350789468474e-09,4.14899082838009e-07,26.25,81.75
"Scoc",-1.08308598118292,3.16247320857987,1.94419934295495e-09,4.16585899892144e-07,104.75,222
"Tnfaip2",0.476455951525593,7.30263786538069,3.24691472975649e-09,6.84124933559692e-07,3368.25,2420.75
"Dlc1",-0.481171748372391,6.04678492328891,3.32034190070136e-09,6.88127250961747e-07,1012,1412
"C3",0.808658826306238,9.17894534307096,3.38038461152862e-09,6.89271326757175e-07,13539.5,7729.75
"Mrgprf",-1.05366143502696,3.72267173178892,4.81280318029465e-09,9.65769171512459e-07,157,325.5
"D8Ertd82e",-0.597079676515901,6.34215774797292,5.11660986211559e-09,1.01069034182602e-06,1184.25,1791.5
"B3gnt3",-1.20702527465129,3.38991870684139,7.11123396723146e-09,1.38308030482677e-06,116,268
"Tmem132c",-0.707571607820491,6.08117381588021,1.14320920959999e-08,2.1897652769338e-06,943.5,1539.75
"Ces1d",0.554890048031752,6.90781036870619,1.39972856603226e-08,2.64109978086266e-06,2619,1783.25
"Steap1",1.34098698686508,2.51376766415041,1.48979184591875e-08,2.76969831119189e-06,146,57.5
"Tspan11",-1.04235091807739,3.05320232929128,1.71850248902475e-08,3.14859542989144e-06,98.75,203.75
"Hmgb1",-0.503985599024904,5.03044991987207,1.87158234088576e-08,3.38007770763969e-06,495,702.25
